grafo,best,conv,avg,worst,time,procs,conf
morady/TG17,37,61/100,37.39,38,0.119,4,8
morady/TG18,440,16/100,476.9,550,0.117,4,8
morady/TGG9,16,100/100,16,16,0.097,4,8
morady/TGG11,49,100/100,49,49,0.102,4,8
morady/TGGG11,12,100/100,12,12,0.1,4,8
gauss/GAUSS18,44,12/100,47.89,55,0.117,4,8
gauss/gauss27,67,1/100,73.94,82,0.144,4,8
gauss/gauss35,93,9/100,97.84,108,0.175,4,8
gauss/gauss44,118,1/100,125.36,136,0.201,4,8
gauss/gauss65,177,1/100,189.11,200,0.249,4,8
laplace/laplace9,520,100/100,520,520,0.103,4,8
laplace/laplace16,760,84/100,764.1,800,0.121,4,8
laplace/laplace25,1000,5/100,1050,1110,0.132,4,8
laplace/laplace36,1300,1/100,1361.3,1410,0.167,4,8
fft/fft15,560,81/100,563.8,580,0.115,4,8
fft/fft39,840,2/100,883.8,940,0.173,4,8
fft/fft95,1640,9/100,1682.8,1800,0.279,4,8
fft/fft223,3580,6/100,3650,3760,0.545,4,8
random/random30,751,12/100,788.56,872,0.159,4,8
random/random40,551,1/100,584.94,630,0.195,4,8
random/random50,496,3/100,517.72,556,0.186,4,8
morady/TG4,34,100/100,34,34,0.079,4,9
morady/TG9,21,92/100,21.16,23,0.096,4,9
morady/TG10,83,96/100,83.16,88,0.103,4,9
morady/TG11,20,95/100,20.05,21,0.114,4,9
morady/TG12,27,29/100,30.18,33,0.115,4,9
morady/TG14,35,14/100,37.5,43,0.116,4,9
morady/TG17,37,47/100,37.6,40,0.135,4,9
morady/TG18,440,5/100,491.9,560,0.138,4,9
morady/TGG9,16,100/100,16,16,0.106,4,9
morady/TGG11,49,100/100,49,49,0.117,4,9
morady/TGGG11,12,100/100,12,12,0.112,4,9
gauss/GAUSS18,44,4/100,49.57,58,0.134,4,9
gauss/gauss27,69,6/100,75.55,87,0.17,4,9
gauss/gauss35,93,1/100,100.42,112,0.211,4,9
gauss/gauss44,120,1/100,129.15,140,0.241,4,9
gauss/gauss65,180,1/100,193.88,208,0.321,4,9
laplace/laplace9,520,100/100,520,520,0.098,4,9
laplace/laplace16,760,76/100,768.3,830,0.136,4,9
laplace/laplace25,1000,2/100,1058.3,1110,0.163,4,9
laplace/laplace36,1300,3/100,1370,1420,0.209,4,9
fft/fft15,560,70/100,566,580,0.121,4,9
fft/fft39,840,1/100,888.6,940,0.22,4,9
fft/fft95,1620,2/100,1674.2,1740,0.424,4,9
fft/fft223,3540,3/100,3590.8,3660,0.902,4,9
random/random30,751,18/100,792.12,850,0.189,4,9
random/random40,551,1/100,584.56,642,0.242,4,9
random/random50,496,2/100,524.8,568,0.258,4,9
morady/TG4,34,100/100,34,34,0.123,4,10
morady/TG9,21,97/100,21.06,23,0.151,4,10
morady/TG10,83,97/100,83.15,88,0.158,4,10
morady/TG11,20,99/100,20.01,21,0.17,4,10
morady/TG12,27,47/100,29.38,33,0.166,4,10
morady/TG14,35,37/100,36.45,40,0.174,4,10
morady/TG17,37,45/100,37.55,38,0.204,4,10
morady/TG18,440,28/100,468.1,540,0.209,4,10
morady/TGG9,16,100/100,16,16,0.152,4,10
morady/TGG11,49,100/100,49,49,0.169,4,10
morady/TGGG11,12,100/100,12,12,0.171,4,10
gauss/GAUSS18,44,19/100,46.96,54,0.21,4,10
gauss/gauss27,67,4/100,72.08,78,0.276,4,10
gauss/gauss35,91,2/100,97.08,104,0.357,4,10
gauss/gauss44,116,1/100,125.5,134,0.468,4,10
gauss/gauss65,177,1/100,188.21,198,0.748,4,10
laplace/laplace9,520,100/100,520,520,0.155,4,10
laplace/laplace16,760,82/100,764.4,800,0.195,4,10
laplace/laplace25,1000,2/100,1046.2,1110,0.263,4,10
laplace/laplace36,1300,5/100,1352.3,1400,0.37,4,10
fft/fft15,560,87/100,562.6,580,0.189,4,10
fft/fft39,840,4/100,884,940,0.404,4,10
fft/fft95,1620,1/100,1706.2,1820,1.248,4,10
fft/fft223,3620,2/100,3742.6,4040,4.471,4,10
random/random30,751,17/100,785.63,828,0.325,4,10
random/random40,556,2/100,583.33,669,0.435,4,10
random/random50,496,2/100,517.96,552,0.504,4,10
morady/TG4,34,100/100,34,34,0.103,4,11
morady/TG9,21,93/100,21.14,23,0.125,4,11
morady/TG10,83,99/100,83.05,88,0.128,4,11
morady/TG11,20,96/100,20.04,21,0.134,4,11
morady/TG12,27,43/100,29.34,33,0.131,4,11
morady/TG14,35,35/100,36.6,42,0.135,4,11
morady/TG17,37,57/100,37.44,39,0.154,4,11
morady/TG18,440,25/100,468.6,540,0.151,4,11
morady/TGG9,16,100/100,16,16,0.122,4,11
morady/TGG11,49,100/100,49,49,0.131,4,11
morady/TGGG11,12,100/100,12,12,0.133,4,11
gauss/GAUSS18,44,30/100,46.52,54,0.15,4,11
gauss/gauss27,67,3/100,72.7,80,0.173,4,11
gauss/gauss35,91,1/100,96.93,106,0.204,4,11
gauss/gauss44,116,1/100,124.54,133,0.232,4,11
gauss/gauss65,177,1/100,188.28,199,0.282,4,11
laplace/laplace9,520,100/100,520,520,0.116,4,11
laplace/laplace16,760,77/100,766.9,800,0.14,4,11
laplace/laplace25,1000,4/100,1043.3,1110,0.164,4,11
laplace/laplace36,1290,1/100,1355.2,1420,0.21,4,11
fft/fft15,560,89/100,562.2,580,0.139,4,11
fft/fft39,840,3/100,881.2,940,0.223,4,11
fft/fft95,1640,11/100,1680.6,1760,0.367,4,11
fft/fft223,3560,2/100,3648.8,3780,0.702,4,11
random/random30,751,16/100,788.39,835,0.21,4,11
random/random40,560,1/100,583.87,629,0.268,4,11
random/random50,496,2/100,519.08,544,0.24,4,11
morady/TG4,34,100/100,34,34,0.149,4,12
morady/TG9,21,93/100,21.14,23,0.182,4,12
morady/TG10,83,99/100,83.05,88,0.186,4,12
morady/TG11,20,96/100,20.04,21,0.199,4,12
morady/TG12,27,41/100,29.44,33,0.192,4,12
morady/TG14,35,32/100,36.69,42,0.203,4,12
morady/TG17,37,65/100,37.38,39,0.236,4,12
morady/TG18,440,32/100,467.8,540,0.239,4,12
morady/TGG9,16,100/100,16,16,0.178,4,12
morady/TGG11,49,100/100,49,49,0.196,4,12
morady/TGGG11,12,100/100,12,12,0.198,4,12
gauss/GAUSS18,44,24/100,47.12,53,0.244,4,12
gauss/gauss27,67,3/100,73.13,80,0.314,4,12
gauss/gauss35,92,1/100,97.17,107,0.404,4,12
gauss/gauss44,116,2/100,124.62,136,0.489,4,12
gauss/gauss65,178,2/100,188.54,201,0.795,4,12
laplace/laplace9,520,100/100,520,520,0.181,4,12
laplace/laplace16,760,82/100,765,800,0.232,4,12
laplace/laplace25,1000,2/100,1049.1,1110,0.297,4,12
laplace/laplace36,1300,1/100,1363,1410,0.408,4,12
fft/fft15,560,73/100,565.4,580,0.218,4,12
fft/fft39,840,4/100,883,940,0.433,4,12
fft/fft95,1640,5/100,1707.8,1820,1.209,4,12
fft/fft223,3620,1/100,3735,3900,4.674,4,12
random/random30,751,11/100,795.77,904,0.377,4,12
random/random40,553,1/100,584.99,646,0.49,4,12
random/random50,496,8/100,518.52,556,0.551,4,12
morady/TG4,34,100/100,34,34,0.123,4,13
morady/TG9,21,93/100,21.14,23,0.153,4,13
morady/TG10,83,100/100,83,83,0.159,4,13
morady/TG11,20,99/100,20.01,21,0.169,4,13
morady/TG12,27,46/100,29.3,33,0.17,4,13
morady/TG14,35,29/100,36.78,41,0.181,4,13
morady/TG17,37,47/100,37.54,39,0.207,4,13
morady/TG18,440,23/100,471.5,550,0.213,4,13
morady/TGG9,16,100/100,16,16,0.159,4,13
morady/TGG11,49,100/100,49,49,0.174,4,13
morady/TGGG11,12,100/100,12,12,0.174,4,13
gauss/GAUSS18,44,19/100,47.14,54,0.209,4,13
gauss/gauss27,67,2/100,73.11,81,0.275,4,13
gauss/gauss35,92,1/100,97.03,104,0.358,4,13
gauss/gauss44,118,3/100,125.36,132,0.467,4,13
gauss/gauss65,176,1/100,187.39,200,0.49,4,13
laplace/laplace9,520,100/100,520,520,0.104,4,13
laplace/laplace16,760,80/100,765.1,800,0.133,4,13
laplace/laplace25,1000,3/100,1051,1110,0.168,4,13
laplace/laplace36,1300,1/100,1359.7,1420,0.226,4,13
fft/fft15,560,82/100,563.6,580,0.13,4,13
fft/fft39,840,2/100,884.4,940,0.282,4,13
fft/fft95,1640,6/100,1688.6,1780,0.755,4,13
fft/fft223,3600,2/100,3723.6,3980,2.681,4,13
random/random30,751,15/100,780.79,872,0.208,4,13
random/random40,557,1/100,582.14,629,0.273,4,13
random/random50,496,2/100,522.2,560,0.316,4,13
morady/TG4,34,100/100,34,34,0.082,4,14
morady/TG9,21,95/100,21.1,23,0.099,4,14
morady/TG10,83,100/100,83,83,0.099,4,14
morady/TG11,20,100/100,20,20,0.108,4,14
morady/TG12,27,45/100,29.32,33,0.102,4,14
morady/TG14,35,24/100,36.92,42,0.106,4,14
morady/TG17,37,55/100,37.46,39,0.124,4,14
morady/TG18,440,23/100,470.8,550,0.118,4,14
morady/TGG9,16,100/100,16,16,0.095,4,14
morady/TGG11,49,100/100,49,49,0.101,4,14
morady/TGGG11,12,100/100,12,12,0.104,4,14
gauss/GAUSS18,44,23/100,46.93,53,0.116,4,14
gauss/gauss27,69,18/100,73.29,80,0.139,4,14
gauss/gauss35,93,3/100,97.48,107,0.166,4,14
gauss/gauss44,116,1/100,124.73,141,0.194,4,14
gauss/gauss65,175,1/100,187.73,203,0.229,4,14
laplace/laplace9,520,100/100,520,520,0.094,4,14
laplace/laplace16,760,82/100,765.1,800,0.116,4,14
laplace/laplace25,1000,3/100,1052.3,1110,0.137,4,14
laplace/laplace36,1300,3/100,1360.8,1420,0.169,4,14
fft/fft15,560,86/100,562.8,580,0.109,4,14
fft/fft39,840,7/100,878.8,940,0.177,4,14
fft/fft95,1620,4/100,1675.2,1740,0.296,4,14
fft/fft223,3540,2/100,3627.4,3720,0.603,4,14
random/random30,751,19/100,786.62,872,0.176,4,14
random/random40,554,1/100,579.2,635,0.212,4,14
random/random50,496,2/100,520.88,564,0.191,4,14
